EmailID,Contains_Offer,Contains_Win,Contains_Financial,Email_Length,Capital_Letter_Ratio,Spam
1,No,Yes,No,165,0.07,Yes
2,No,Yes,No,498,0.24,Yes
3,No,Yes,No,415,0.11,Yes
4,No,No,Yes,271,0.28,Yes
5,No,Yes,Yes,128,0.07,Yes
6,Yes,No,No,337,0.03,No
7,Yes,No,No,496,0.11,Yes
8,No,No,Yes,129,0.2,Yes
9,No,No,Yes,391,0.27,No
10,Yes,Yes,No,214,0.29,No
11,Yes,No,Yes,122,0.21,Yes
12,Yes,No,No,302,0.19,Yes
13,Yes,Yes,No,244,0.26,No
14,Yes,No,Yes,241,0.06,No
15,No,No,No,275,0.26,Yes
16,No,Yes,Yes,179,0.25,No
17,Yes,No,No,420,0.12,No
18,No,Yes,Yes,276,0.29,Yes
19,No,No,Yes,342,0.21,No
20,Yes,No,No,262,0.2,Yes
21,Yes,No,No,368,0.15,No
22,Yes,Yes,Yes,310,0.02,Yes
23,No,Yes,Yes,395,0.25,No
24,No,Yes,Yes,273,0.19,No
25,Yes,No,No,352,0.22,No
26,No,No,No,199,0.17,No
27,Yes,Yes,No,197,0.26,Yes
28,No,No,No,131,0.15,Yes
29,Yes,Yes,Yes,292,0.11,No
30,No,No,Yes,277,0.17,Yes
31,No,Yes,Yes,403,0.06,No
32,Yes,Yes,Yes,111,0.17,No
33,Yes,Yes,No,338,0.17,Yes
34,Yes,No,Yes,268,0.2,Yes
35,Yes,Yes,No,148,0.17,Yes
36,Yes,Yes,Yes,139,0.27,Yes
37,No,Yes,No,427,0.18,Yes
38,Yes,No,Yes,310,0.06,No
39,No,Yes,Yes,330,0.14,Yes
40,Yes,Yes,No,142,0.1,Yes
41,Yes,Yes,No,433,0.21,Yes
42,Yes,No,No,285,0.03,Yes
43,Yes,No,Yes,454,0.13,No
44,Yes,Yes,No,391,0.12,Yes
45,No,Yes,No,407,0.03,Yes
46,Yes,No,Yes,153,0.24,Yes
47,Yes,No,No,135,0.08,Yes
48,No,Yes,Yes,100,0.03,No
49,Yes,Yes,No,189,0.15,No
50,Yes,No,Yes,121,0.11,Yes
51,Yes,No,No,191,0.03,Yes
52,Yes,No,Yes,235,0.29,No
53,No,Yes,Yes,269,0.2,No
54,No,Yes,No,244,0.06,Yes
55,Yes,Yes,Yes,103,0.02,Yes
56,No,No,Yes,437,0.24,No
57,Yes,No,No,191,0.05,Yes
58,No,No,Yes,144,0.17,No
59,No,Yes,Yes,404,0.1,No
60,No,Yes,No,407,0.14,Yes
61,Yes,Yes,Yes,272,0.09,Yes
62,Yes,Yes,No,445,0.28,No
63,No,Yes,Yes,209,0.12,No
64,Yes,Yes,No,376,0.08,No
65,No,Yes,Yes,407,0.02,No
66,No,No,Yes,233,0.23,Yes
67,Yes,Yes,Yes,169,0.22,No
68,Yes,Yes,No,252,0.06,No
69,Yes,No,No,424,0.03,Yes
70,No,Yes,No,444,0.24,Yes
71,Yes,No,Yes,453,0.29,No
72,No,Yes,No,364,0.14,No
73,No,No,Yes,383,0.22,No
74,Yes,Yes,Yes,120,0.1,No
75,No,Yes,Yes,303,0.1,Yes
76,Yes,No,No,436,0.2,No
77,No,Yes,No,220,0.2,No
78,No,Yes,No,310,0.05,No
79,Yes,Yes,No,165,0.07,No
80,Yes,Yes,No,482,0.15,No
81,No,Yes,No,393,0.18,No
82,Yes,No,No,196,0.15,Yes
83,No,No,Yes,486,0.28,No
84,Yes,Yes,No,372,0.13,Yes
85,No,Yes,Yes,496,0.03,No
86,Yes,No,No,388,0.14,No
87,Yes,No,Yes,418,0.14,No
88,No,Yes,No,116,0.08,Yes
89,Yes,No,Yes,286,0.03,No
90,Yes,Yes,No,183,0.17,Yes
91,No,No,No,289,0.07,Yes
92,No,Yes,Yes,390,0.11,No
93,Yes,No,Yes,498,0.14,No
94,Yes,No,Yes,345,0.26,No
95,Yes,No,Yes,225,0.19,No
96,No,No,No,397,0.17,No
97,Yes,No,No,390,0.23,No
98,Yes,No,No,352,0.24,No
99,No,Yes,Yes,302,0.17,Yes
100,Yes,No,No,420,0.2,No
101,No,No,No,316,0.2,Yes
102,No,Yes,Yes,128,0.01,Yes
103,Yes,Yes,Yes,249,0.05,Yes
104,Yes,No,Yes,400,0.14,No
105,No,Yes,Yes,104,0.07,No
106,Yes,Yes,No,226,0.07,No
107,Yes,Yes,Yes,469,0.24,Yes
108,No,No,No,365,0.13,No
109,No,Yes,No,294,0.19,Yes
110,No,Yes,No,186,0.15,Yes
111,No,No,Yes,174,0.19,No
112,No,No,Yes,417,0.2,No
113,Yes,Yes,Yes,388,0.05,Yes
114,No,No,No,253,0.2,No
115,No,No,No,393,0.26,No
116,Yes,No,Yes,420,0.01,Yes
117,Yes,Yes,No,188,0.22,No
118,Yes,Yes,No,156,0.17,Yes
119,No,Yes,Yes,222,0.1,No
120,No,Yes,No,143,0.08,No
121,No,Yes,Yes,387,0.27,No
122,No,No,No,389,0.3,Yes
123,Yes,Yes,Yes,462,0.05,No
124,Yes,Yes,Yes,386,0.08,No
125,No,Yes,No,381,0.28,No
126,Yes,No,Yes,213,0.07,No
127,No,No,Yes,248,0.28,Yes
128,Yes,Yes,Yes,170,0.28,Yes
129,No,No,No,291,0.12,No
130,Yes,Yes,No,344,0.11,Yes
131,Yes,Yes,No,181,0.23,Yes
132,Yes,Yes,No,191,0.12,Yes
133,Yes,Yes,Yes,165,0.05,No
134,Yes,Yes,Yes,315,0.06,Yes
135,No,Yes,Yes,123,0.06,No
136,No,No,Yes,481,0.15,Yes
